,id,following_n,followed_n,following_list,followed_list,commit_n,locations,type_list,bio,public_repos,public_gists
41,10009354,44,61,"[123814, 315234, 416322, 572534, 590234, 713766, 716147, 1008365, 1008844, 1012677, 1053889, 1174663, 1334449, 1334841, 1974995, 3168499, 3650586, 3738598, 3819892, 4659834, 5244565, 5279578, 5311656, 5882048, 6014445, 6340262, 6371919, 7158594, 8041839, 8274152, 9084725, 10048310, 10212863, 10707925, 11718923, 11749542, 14247272, 15057129, 16045513, 16253602, 17379475, 17393556, 18468693, 30042545]","[6340262, 8041839, 4659834, 3738598, 3819892, 17379475, 17393556, 9084725, 15057129, 1174663, 6014445, 375116, 4854684, 15786037, 526959, 9882621, 3187617, 20119926, 1974995, 126820, 27640781, 3076393, 18468693, 416322, 26839305, 10707925, 7158594, 29991626, 6354848, 17568198, 716147, 795177, 8720367, 3008098, 5789813, 14251570, 32623514, 32794829, 418638, 29805408, 16505831, 6031036, 11718923, 33995174, 3650586, 9388212, 26319203, 22007564, 5870952, 1753498, 11605354, 15626022, 26109420, 16551733, 587438, 4679721, 6072615, 27206269, 22623777, 37007704, 5683582]",678,world.,User,Dev and security enthusiast; capturing flags with JHtC CTF team,45,34
42,10068494,1,3,[6567996],"[24456574, 1517580, 6567996]",111,"Manchester, UK",User,,12,0
43,1001758,4,11,"[97524, 768611, 914386, 1234305]","[768611, 1234305, 1309255, 1443519, 835381, 1583507, 2946489, 5836842, 7482719, 17691620, 2261326]",470,,User,,15,0
44,10054913,2,3,"[222745, 1406554]","[3604053, 4107768, 30257640]",184,,User,,16,1
45,10075261,3,1,"[143715, 314716, 781659]",[10261121],485,,User,Physics Ph.D student at Stanford University / SLAC National Accelerator Laboratory,13,0
46,10061932,17,11,"[317625, 398980, 1758421, 1845755, 5467829, 5542307, 6099568, 7262393, 9213999, 9453090, 12713591, 13522870, 14235420, 14274026, 14310248, 14954276, 16957558]","[1758421, 5542307, 14310248, 13522870, 9453090, 14954276, 7262393, 1564781, 5877145, 14251570, 26478015]",219,France,User,,15,0
47,10040347,0,2,[],"[3832986, 16236211]",181,,User,,25,0
48,10000571,1,1,[5183071],[5183071],263,,User,,2,0
49,1003031,0,2,[],"[4315236, 12037269]",299,,User,,34,1
50,10009426,1,3,[3834985],"[24542687, 18121112, 3093815]",115,Kyiv,User,Passionate about NLP. In love with Python.,4,0
51,10068531,6,6,"[1623534, 5315461, 5508538, 7519388, 12041666, 14302951]","[1623534, 13662396, 12041666, 7519388, 14302951, 5315461]",576,,User,,7,0
