,following_n,commit_n,public_repos,public_gists,follower_range
317,38,543,123,9,followers1000-2000
318,4,503,67,11,followers1000-2000
319,25,462,17,0,followers1000-2000
320,72,713,30,6,followers1000-2000
321,23,745,17,10,followers1000-2000
322,44,426,147,0,followers1000-2000
323,3,648,25,0,followers1000-2000
324,51,191,13,6,followers1000-2000
325,4,165,28,2,followers1000-2000
326,1,354,35,0,followers1000-2000
327,12,148,9,4,followers2000
328,30,447,71,8,followers2000
329,9,448,7,7,followers2000
330,16,556,37,27,followers2000
331,36,462,53,38,followers2000
332,0,542,30,0,followers2000
333,15,283,25,0,followers2000
334,217,414,45,124,followers2000
335,0,441,12,0,followers2000
336,50,353,95,0,followers2000
337,48239,153,46,0,followers2000
338,0,716,36,5,followers2000
